,mse_avg,mse_std,mape_avg,mape_std
PETR4,0.231,0.211,1.407,0.775
VALE3,1.585,1.816,1.191,0.221
BOVA11,0.733,0.8,0.883,0.33
ITUB4,0.338,0.465,1.229,0.28
BBDC4,0.441,0.589,1.269,0.519
B3SA3,2.206,3.232,1.746,0.781
BBAS3,3.372,3.537,2.433,1.411
ABEV3,0.093,0.027,0.988,0.215
MGLU3,1.513,1.433,2.388,0.799
VVAR3,0.018,0.007,2.351,0.271
