,mse,mape
PETR4,62.18962482916316,22.4072009589447
VALE3,108.2775809904184,22.455899048595132
BOVA11,206.583940752954,12.186767921431167
ITUB4,46.332090065422435,17.734127748130827
BBDC4,54.205533423399416,18.64947617783985
B3SA3,131.4462005304333,32.2956077389925
BBAS3,99.29809903917375,24.31725626741518
ABEV3,32.03091278328157,21.62868474471663
MGLU3,451.62875809006044,42.898066781802406
VVAR3,4.699778397326306,61.9726694908316
