,mse_avg,mse_std,mape_avg,mape_std
PETR4,56.74,89.43,26.62,28.75
VALE3,35.46,79.47,30.83,49.87
BOVA11,77.98,86.13,34.29,68.54
ITUB4,23.86,62.26,12.03,73.71
BBDC4,40.62,75.61,42.48,75.84
B3SA3,47.36,90.86,27.02,72.59
BBAS3,73.1,95.45,46.92,91.86
ABEV3,50.48,88.1,27.0,45.42
MGLU3,29.27,61.37,37.86,87.59
VVAR3,87.27,96.46,40.88,73.58
