,mse_avg,mse_std,mape_avg,mape_std
PETR4,0.122,0.026,0.954,0.114
VALE3,0.364,0.101,1.005,0.2
BOVA11,0.309,0.105,0.573,0.067
ITUB4,0.067,0.02,1.038,0.061
BBDC4,0.114,0.03,0.853,0.079
B3SA3,0.299,0.052,1.091,0.111
BBAS3,0.159,0.019,1.033,0.052
ABEV3,0.052,0.005,0.722,0.137
MGLU3,0.725,0.124,1.195,0.05
VVAR3,0.014,0.004,1.695,0.237
