,mse_avg,mse_std,mape_avg,mape_std
PETR4,50.35,97.56,28.0,66.25
VALE3,37.23,79.07,30.9,65.16
BOVA11,78.55,93.66,25.57,77.0
ITUB4,42.05,86.79,11.36,82.76
BBDC4,52.08,86.99,39.99,71.87
B3SA3,52.29,97.19,18.66,87.65
BBAS3,69.04,89.0,38.49,88.42
ABEV3,51.43,85.71,31.85,68.13
MGLU3,38.24,81.93,23.71,83.13
VVAR3,90.91,99.12,31.98,91.08
