,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.000581287473481071,0.0013290087936488019,0.00036775804995322167,0.0006414807883008603,0.00038470028727956795,0.0001622485812959252,0.0002584119561155698,0.0007647144598296824,8.666090891275913e-05,0.000510595474368548
mape_test_IMF1,131.69147723758354,108.65288827783941,114.89323804123659,119.91530437615134,125.36532536200811,164.6110507342067,152.34220072021105,156.0569379044549,257.55248422934847,138.90239882180487
mse_test_IMF2,7.448880213790068e-05,0.00040337485657578395,5.1241007768815464e-05,9.27330230138067e-05,8.408809580456415e-05,5.03308504984421e-05,0.00014518525773077893,0.00015859991415474156,1.562930204124568e-05,0.0001745028378558705
mape_test_IMF2,122.6176393249722,316.2914095610986,381.7272780773076,651.39949801459,107.65266734284562,222.4908289686377,530.8219126216229,175.35189319252743,146.92734638123756,194.43791319078235
mse_test_IMF3,0.00023394819351484078,0.0007865179140530128,0.00011228988806129793,0.00027339160809879343,7.344143193798725e-05,4.8829179087899834e-05,0.0001829395010657654,0.00020791586143234782,3.317468665208856e-05,0.0003061837401602509
mape_test_IMF3,325.24279817479123,191.27522696925672,205.63527143284813,117.08242373582432,192.6498268237738,180.1838388144884,148.64323144528834,131.5580604590149,104.18969891442072,200.76500953127274
mse_test_IMF4,6.244812227223797e-05,7.67836593114285e-05,2.550439040259409e-05,5.3357168413149594e-05,3.219496406149959e-05,5.700757827958139e-06,3.4387479233252096e-05,9.66618986063007e-05,3.4715874690562334e-06,3.741895041223327e-05
mape_test_IMF4,53.01476153383165,91.7856683995389,29.81547587912709,26.236718551134402,35.0511944357709,78.0966540142399,76.77132990406841,54.34507211878542,85.33969817347788,53.72888500274162
mse_test_IMF5,1.8344583834867095e-05,2.6474696858408154e-05,1.0914673728405372e-05,1.517163032856729e-05,1.807775350475363e-05,2.861300606245592e-06,1.5988508382042345e-05,5.159672460311798e-06,2.997973068844759e-06,1.6069862794449883e-05
mape_test_IMF5,1.333703886156292,13.358021584809016,1.04747899534974,9.521832447775072,5.427002847012785,13.032317424045075,5.283836720655074,8.99580321683982,16.438730647354237,21.415785830115848
mse_test_IMF6,,2.5200366279010376e-06,,3.536030222709461e-06,1.0852178347470529e-06,6.842815547636362e-06,1.071123370463118e-06,2.1337298795949027e-06,4.389825804755383e-06,9.740390312315978e-06
mape_test_IMF6,,0.3035665780178345,,0.3403229050232265,0.1794314912932969,0.7700929543060429,0.18232752534684546,0.2719109519480182,0.8627717671133317,1.019465155785138
