,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0004461422837076648,0.001491823463543875,0.0004527674563149943,0.0006205228216005471,0.0003116802610294845,0.00014027356385289924,0.00031793520981749144,0.0006734718611932079,6.500480815415505e-05,0.00046967188666862487
mape_test_IMF1,115.81125785327215,256.535031361201,181.68491942171917,131.52515202837577,128.5380602205382,126.10672240280726,332.9543418739358,107.93774169545986,118.17916297417577,112.87668078739527
mse_test_IMF2,9.017360110376406e-05,0.0003546780600741612,4.790992408488693e-05,8.438362154422029e-05,7.112658342731394e-05,4.165380700441948e-05,7.658225162845271e-05,9.486565647827205e-05,2.390405349373677e-05,0.0001243344265590518
mape_test_IMF2,146.53609524054866,185.25798297581252,137.7288796565331,291.2675577050471,194.97555078072003,261.51265315577774,754.4228210487514,132.1846549445711,1422.931664988174,164.51441025823308
mse_test_IMF3,0.0002318946913297324,0.0007345618866593525,0.00011061103963351294,0.000320730599213579,7.075759593418966e-05,5.048931698169204e-05,0.0001769504397586767,0.00020796350783698113,3.4391801588452716e-05,0.000283859461523729
mape_test_IMF3,223.63336508116944,181.9187001563003,157.89247316172913,161.277378778333,210.4358641815649,217.97704734377436,199.63076590858347,128.9068204167464,145.17191876717084,143.77486257936343
mse_test_IMF4,6.1188815649863e-05,8.361408540352101e-05,2.5355234770323882e-05,4.315123699890776e-05,3.3107877074008324e-05,5.272718663626827e-06,3.405458192643455e-05,9.494356590384581e-05,2.5210463092747066e-06,3.83635432788029e-05
mape_test_IMF4,41.50940687131995,39.65095001897583,37.85805252795325,34.315278113706135,28.296831831240837,69.12841284987064,40.37580109461106,31.88774425242025,62.12476286749067,46.858908206916404
mse_test_IMF5,1.815297804261093e-05,8.305233326431775e-06,1.0910435325634253e-05,2.6853671459831894e-05,1.795845830146336e-05,2.723964648541025e-06,1.5839318998948955e-05,5.3569761775975724e-06,3.0837189561604445e-06,1.775952689175806e-05
mape_test_IMF5,1.3090922450006501,12.749261056011548,1.0520462152851706,9.695766695988683,10.136012930476348,13.40034082942502,5.263574873219998,8.527945856921999,10.73230702686174,19.06371463681153
mse_test_IMF6,1.4652492815281283e-06,1.5608781052564139e-06,1.2558560998216555e-07,1.8935196956073528e-06,1.064697335195732e-06,6.809079677561848e-06,1.070178935928574e-06,2.1391329165416098e-06,4.28665410406507e-06,9.156086279115971e-06
mape_test_IMF6,31.279857604071598,0.252374888780895,9.871377131375377,0.23830605413813596,0.17747126863403953,0.7706395230535223,0.1820385241158903,0.27481491252307627,0.8009268287593303,9.935146427544634
mse_test_IMF7,7.005063480858013e-07,1.2313105480855296e-10,1.2982856774886544e-08,,5.724029691030337e-09,,1.7246481914513368e-07,3.8004282363411404e-08,7.738789222093817e-09,4.935456901198897e-07
mape_test_IMF7,0.3416908784788823,0.011379314314611536,0.041191033441974376,,59.09447884131058,,0.19505457065478357,0.08511511001834766,0.04174980711099663,0.19983382081087794
mse_test_IMF8,,,,,1.9123935515957116e-13,,,,,
mape_test_IMF8,,,,,0.00016345355668810524,,,,,
