,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0004192854787671985,0.0010144537144272333,0.000328004624959438,0.0007369882593004068,0.00040365380419251647,0.00013480573878147642,0.00024408274320100227,0.0007187971853276678,7.296632013733214e-05,0.0005140739792454741
mape_test_IMF1,104.84973616012785,174.00878744567945,312.30112931945564,201.49151196400763,670.5178348067759,107.68386261897128,120.89693351499935,302.3846868659096,306.1262326812639,126.89558693446482
mse_test_IMF2,5.0314096871536955e-05,0.0002361806461013434,5.032492572696861e-05,8.37021889703241e-05,6.646693448708607e-05,2.0720425848341777e-05,3.735102786559427e-05,6.868528859475e-05,1.8629018618634294e-05,0.0001073181249962933
mape_test_IMF2,174.89870724926112,221.41611936631853,197.43227669054843,117.07941238668576,214.69270267129485,269.486392594728,107.61061029806575,4544.826430509765,199.66621561789168,447.69892056645483
mse_test_IMF3,0.00024253079302137106,0.000714838317684359,0.00011233265048451491,0.0003167596908575595,7.319319145626655e-05,5.1515401336310136e-05,0.00018668737958439828,0.0002045619965243141,3.477247506778658e-05,0.00029939359291511063
mape_test_IMF3,195.64204809128094,347.97606242773855,156.03586257937698,132.28426222830265,135.8943015141693,338.01304706701035,233.4347925179974,150.69672716559526,102.83746440811974,151.26354044065855
mse_test_IMF4,6.13832538908414e-05,7.295599434471598e-05,2.543783203722035e-05,4.6276417693984085e-05,3.222562404625156e-05,5.542545135227064e-06,3.45285786821472e-05,9.093899370487512e-05,2.3510887463797455e-06,3.552862435550008e-05
mape_test_IMF4,47.13687458158134,48.894103040103396,25.141881214303297,68.66668454245529,59.788813892792504,100.84813576611467,44.75493657173396,36.814332143170574,66.13872181318837,69.64224866627863
mse_test_IMF5,1.828741290612712e-05,2.527353165899098e-05,1.092133102194473e-05,2.6350205163930665e-05,1.8169437123299788e-05,1.0122034378871802e-05,1.6136367499160385e-05,5.455310683947894e-06,3.0133731508069645e-06,1.7882311325129887e-05
mape_test_IMF5,1.3228424679078772,16.739389481822815,1.0475760876364884,9.743309060001321,5.435533716834992,1.1321537009780507,5.410101783737438,81.64374952017884,10.596146358723626,17.186276380523573
mse_test_IMF6,7.784348657275224e-07,2.4201351763310853e-06,1.273633839142447e-07,1.9342939712377394e-06,1.0838985041758057e-06,3.776002077585243e-07,1.0751940965573926e-06,1.665088355890317e-06,4.282152014810833e-06,9.717217693252661e-06
mape_test_IMF6,0.38436823282762267,0.29867317276505395,11.486970683882417,0.24085390270644483,0.17959944050440094,0.25496639260528997,0.18288117059776482,0.22554902409153,0.7996065909842525,0.9953507915837042
mse_test_IMF7,,6.243523398867729e-11,1.3342652423732157e-08,2.361805078427683e-10,1.1584549228450717e-09,,1.7162744870385734e-07,1.2394263336999661e-08,7.528208164384526e-09,4.820193322783045e-07
mape_test_IMF7,,0.008028451421623565,0.042997490593964384,0.0065246339146347,9.92923145275178,,0.19470514382014362,0.045737311850596485,0.041179041961431136,0.21320395023329167
mse_test_IMF8,,,,,6.374964690080484e-12,,,,,
mape_test_IMF8,,,,,0.0009343407463197555,,,,,
