,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0005976205443316155,0.001427468939906217,0.0003842410690060953,0.0006263288911119875,0.0003648272858282404,0.00029114883936938744,0.00035843425666773923,0.0007569364596114105,7.01576056096842e-05,0.0004934628546256049
mape_test_IMF1,177.70133440640961,275.26927677495894,127.88843221513,148.59700346102352,196.28698731803104,330.06895091623545,275.89090389155325,134.34350551730483,2731.295843757555,165.25327484427086
mse_test_IMF2,5.906991147925104e-05,0.0003089371633916586,8.788097829086193e-05,0.00014803218953227104,5.9117427075681755e-05,2.5172151162694892e-05,6.456454453748737e-05,8.475152625961117e-05,2.4536115358322396e-05,8.249199196534181e-05
mape_test_IMF2,280.2810210427972,83.74841632230934,523.0956402723316,116.8480227173603,176.94589862173274,147.63950236660133,743.5920924712782,104.56596045127394,676.1083722405523,92.58266874745956
mse_test_IMF3,0.00023768249982494095,0.0007551465282819383,0.00010903649269650228,0.00029365339155742044,7.334925914512407e-05,5.063204846168681e-05,0.00018991307833859353,0.00020912893973056818,3.421198697147484e-05,0.00027524849661878057
mape_test_IMF3,264.7125386917465,167.2840766055818,366.30125665970314,145.97554915330457,363.12158296680235,190.46564898431046,2521.1220680299634,277.5612029870933,123.31340561113502,212.4792309014308
mse_test_IMF4,6.299522775675743e-05,7.86152570304238e-05,2.5521058699445547e-05,4.209936793646942e-05,3.2008666308201616e-05,5.804465148852509e-06,3.4638852752563424e-05,9.503560392832559e-05,3.0008971651828068e-06,4.0049445678128024e-05
mape_test_IMF4,105.32044174652731,58.9999110027997,33.15201996830997,65.97389492222021,49.55503516895949,119.05748590555957,40.300719692964485,77.87971383653402,43.23714760548445,73.37740561292357
mse_test_IMF5,1.8361335726835156e-05,2.6340836044125916e-05,1.0932298956185494e-05,2.6694596650196032e-05,1.8319358482230217e-05,1.0113889187965711e-05,1.6048572920292292e-05,5.164507444317065e-06,3.150417854583109e-06,1.594456025852288e-05
mape_test_IMF5,1.3435669332390716,13.6575022648491,1.0474012732462605,9.486774344852945,6.0340899866161255,1.1354918349038443,5.15478665537512,8.785185117218733,10.602339598651552,19.297541359251422
mse_test_IMF6,,2.5139291530094804e-06,,1.9072241138780185e-06,1.0930567011255073e-06,,1.0709089572901543e-06,2.0990214425784877e-06,4.274304714950357e-06,1.0123842224520058e-05
mape_test_IMF6,,0.30311452196993083,,0.2383859705534167,0.18064809538903284,,0.1824962372598419,0.26902353457723555,0.7987483532098602,1.0464538984177545
