,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0006003435699954587,0.0011689097944903824,0.00033227353980809314,0.0006472991494821392,0.0003382229728626966,0.00013780631052098612,0.0002426003147381421,0.0006939032817867396,6.109841498807608e-05,0.0004633575264480099
mape_test_IMF1,169.71391078022862,107.79320655348845,121.83564305813574,151.4763028096599,160.33174366966722,134.72314742713775,1809.9120511962042,134.47047847515302,821.445161452923,125.05357163428033
mse_test_IMF2,5.5801611623332936e-05,0.0010145448042827897,5.30616982235631e-05,8.065451264765258e-05,6.738541441489864e-05,3.2156064545324436e-05,6.577322242048583e-05,8.715183086531612e-05,2.1507722271198768e-05,0.00015688970206257402
mape_test_IMF2,113.45275679939948,448.29981902204094,131.55166992322188,117.70312342947375,345.5558634115293,191.14069233207348,582.5638086397693,137.6227887675058,246.72225015943562,150.75316907436826
mse_test_IMF3,1.4868260903895404e-05,0.00019727429430274523,1.8754244034003566e-05,7.016486973474809e-05,3.876603703892014e-05,1.9001996096835244e-05,2.9813345786873677e-05,4.405155066669215e-05,7.681484888702773e-06,8.305839265776376e-05
mape_test_IMF3,44.03241169553295,138.00304162999961,52.401040823558745,79.54031114838983,264.6423230569161,433.6896906801047,44.1956064769215,84.56409006823343,32.340011341921354,100.22763597303808
mse_test_IMF4,6.195873152255952e-05,7.486339015003338e-05,2.5385601878352908e-05,4.290960102749339e-05,3.158973175945969e-05,5.466555398281472e-06,3.4640151303242396e-05,8.849579438843028e-05,3.6120450445016644e-06,4.189937169658573e-05
mape_test_IMF4,37.9235808015065,45.27139219058952,26.64692377577913,196.06604508577402,29.522540312498684,74.70386929862923,31.085658664753645,48.51965667085615,44.15992853459252,49.765305076843084
mse_test_IMF5,1.8407589583979313e-05,2.5761979533041873e-05,1.0871053837327583e-05,2.702094183898318e-05,1.781569576192714e-05,1.014178058058573e-05,1.608700307505295e-05,5.82292888118346e-06,2.898509754985378e-06,1.735498936867525e-05
mape_test_IMF5,1.3450758304027306,14.965654287083241,1.04743330462263,10.607171254818843,5.354143913225255,1.133520615104984,5.3039645598621625,24.648862796494896,31.64094300959887,18.387620951875576
mse_test_IMF6,6.829518093115177e-07,2.4363855396235973e-06,6.660730382910499e-08,1.8732162387258642e-06,1.0839691906614791e-06,3.7204110007845977e-07,1.0759872935261816e-06,2.3635911381652074e-06,4.252124806589876e-06,9.230807493927298e-06
mape_test_IMF6,0.3504059017893642,0.29956480079822806,11.074394646549344,0.23637976529210974,0.17985968763810212,0.25275030851844005,0.18293197073808667,0.306570444203652,0.8158816789443613,9.273922580723672
mse_test_IMF7,,1.5598341408882563e-10,1.1847354200094031e-08,,1.6889747601060734e-09,,1.71001582512892e-07,5.76312305990095e-08,7.646086503231645e-09,4.7094013169130616e-07
mape_test_IMF7,,0.01263050180511119,0.04232480275476314,,0.01431137641561547,,0.19439241809773727,0.10710270556459353,0.04148892490819124,0.19500057699523263
