,mse,mape
PETR4,0.198176619842309,1.209027419654946
VALE3,0.7808109416098523,1.1283490665927538
BOVA11,1.926414078334251,1.78113949698284
ITUB4,0.36724220015477516,1.08048889129893
BBDC4,0.6985049280987595,1.5677996278190467
B3SA3,7.44125712226431,2.0154783063834203
BBAS3,1.088739305333412,2.021078169035856
ABEV3,0.18454666298760306,1.24280108345016
MGLU3,1.9681212875921854,1.844346668583972
VVAR3,0.4122236661157926,3.9624973151504714
