,mse,mape
PETR4,0.10643874940234915,0.9619398190842035
VALE3,0.5431612697099133,1.1107201231130035
BOVA11,2.5214593941981693,1.6117806705563682
ITUB4,0.1542009024297876,1.1428076762591322
BBDC4,1.2430803709023606,1.3156213127276108
B3SA3,0.6080876040890684,1.2773223678582404
BBAS3,4.838656756555641,2.995713404578838
ABEV3,0.10719751755387331,1.3039693303806141
MGLU3,3.944317728607498,1.953118993216928
VVAR3,0.17935608887441035,3.330315941171555
