,mse_avg,mse_std,mape_avg,mape_std
PETR4,50.35,97.56,28.46,65.62
VALE3,38.48,79.47,31.45,66.42
BOVA11,78.47,93.92,25.11,77.46
ITUB4,42.05,86.79,11.27,83.62
BBDC4,51.56,87.8,40.19,73.09
B3SA3,52.11,97.36,18.6,88.15
BBAS3,69.88,88.52,39.16,87.01
ABEV3,51.43,85.71,31.45,69.32
MGLU3,38.73,81.93,23.87,83.87
VVAR3,90.91,99.12,32.05,91.53
