,mse_avg,mse_std,mape_avg,mape_std
PETR4,0.217,0.157,1.263,0.55
VALE3,1.01,1.392,1.146,0.167
BOVA11,0.785,0.899,0.82,0.27
ITUB4,0.211,0.341,1.149,0.209
BBDC4,0.304,0.424,1.188,0.393
B3SA3,1.351,2.365,1.585,0.587
BBAS3,2.021,2.85,2.185,1.29
ABEV3,0.086,0.028,0.952,0.16
MGLU3,1.672,1.391,2.215,0.621
VVAR3,0.022,0.015,2.272,0.256
