,spline,x,x_spline
mse_avg,48.875,-27.260999999999996,56.14799999999999
mse_std,92.196,-13.600999999999999,94.009
mape_avg,14.663000000000002,-7.337000000000001,22.36
mape_std,82.194,-27.283000000000005,79.417
