,mse_avg,mse_std,mape_avg,mape_std
PETR4,0.353,0.257,1.867,0.929
VALE3,2.958,1.608,1.384,0.099
BOVA11,1.149,1.036,1.135,0.281
ITUB4,0.578,0.606,1.432,0.254
BBDC4,0.786,0.716,1.729,0.196
B3SA3,4.137,3.864,2.354,0.636
BBAS3,6.55,0.984,3.719,0.104
ABEV3,0.117,0.008,1.162,0.153
MGLU3,1.913,2.157,3.107,0.213
VVAR3,0.02,0.01,2.547,0.18
