,mse_avg,mse_std,mape_avg,mape_std
PETR4,57.48,97.62,21.43,80.7
VALE3,67.63,93.0,12.99,89.47
BOVA11,76.0,93.47,23.14,80.4
ITUB4,-59.02,25.0,1.25,-591.67
BBDC4,38.99,92.06,35.59,88.45
B3SA3,59.85,94.91,26.44,74.03
BBAS3,82.89,96.28,56.69,98.15
ABEV3,22.47,86.05,8.32,64.41
MGLU3,58.83,97.2,23.15,93.51
VVAR3,50.0,93.33,3.53,44.48
