,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0005094087110183945,0.0013502491638866952,0.0004065783180889845,0.0006179130247139076,0.0003516703169966007,0.00015763866015071343,0.0002667074757411261,0.0007676927105068528,7.740063309723014e-05,0.0005018522714085082
mape_test_IMF1,107.88311015268435,135.38886568670924,134.9363389276021,130.16895711360607,103.96153479653788,198.5962018105055,111.3908905947748,243.31591079396952,425.43669860726226,112.2432377531063
mse_test_IMF2,4.460634916439629e-05,0.00024398837051087092,0.00011284666901217587,0.00011755246281145771,9.795825528634004e-05,2.7196517704801627e-05,0.00016045780432899154,0.0001369205635605855,2.4453677864693184e-05,0.00010572450853151432
mape_test_IMF2,136.08253400329508,115.26723593379214,231.6594146404564,119.68267871158862,2042.9457219667224,81.59161826133804,1318.3743376396085,379.85947411019015,343.3250233009608,103.25379861470789
mse_test_IMF3,1.4387067650728143e-05,3.591664602732296e-05,3.6377673868265735e-06,4.604412174091421e-06,1.4264214817737801e-05,1.3243470588624282e-06,3.4169687238143356e-06,8.542745573399789e-06,1.285278157284895e-06,7.377267732835473e-06
mape_test_IMF3,55.474674563870174,103.41949740058429,121.04198879425132,15.803812610652512,111.22005894613353,50.52986570562168,27.789907277529547,992.5451426801286,16.609929426004232,34.35002613613509
mse_test_IMF4,6.216367645218158e-05,7.787479227913332e-05,2.528091845752652e-05,4.185679867628992e-05,3.2164442751235664e-05,5.621149966282223e-06,3.408887373330971e-05,9.079639140990612e-05,5.264217368915451e-06,4.105943248571799e-05
mape_test_IMF4,723.9573399586709,109.31585423247228,28.199830424057808,61.871898040589755,27.078186891900568,71.96611496103925,90.73590312412716,49.33737489348504,66.76459874371253,59.18635994547673
mse_test_IMF5,1.8333560259476303e-05,2.6448352958619673e-05,1.0884255302413826e-05,2.651002082367974e-05,1.8091632022419965e-05,1.0070732921304688e-05,1.5898609276902106e-05,5.7514279646691585e-06,3.075109439973203e-06,1.6674302520405157e-05
mape_test_IMF5,1.3271058251396437,13.702155219851205,1.0459885017205308,10.083966987323564,5.4466299682604165,1.133083311452465,5.369760043935113,19.67036530421476,10.318118569198031,25.402642125163847
mse_test_IMF6,,2.5086264535981253e-06,,1.90479781156822e-06,1.084579931230139e-06,,1.0686860735261786e-06,2.385422812549001e-06,4.224503690919547e-06,1.0371355060241956e-05
mape_test_IMF6,,0.30298868935777895,,0.23764579382395515,0.17978313243653019,,0.18183996452563075,0.30786415095353964,0.7797146349367179,1.0586795197815566
