,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0004244794722264409,0.0011615627496479905,0.00033535762581541814,0.0005665446955266341,0.00033179648230490335,0.00016740666403312294,0.00024730988917241547,0.0006959368736813963,6.12528440368371e-05,0.0004965708933954251
mape_test_IMF1,105.36031815053006,180.64493656149872,165.59882485522508,135.8774083408671,356.0995631474649,201.76297022740877,116.54326948666225,124.51480546591762,190.17769074729668,1909.2117125001237
mse_test_IMF2,5.675355051488226e-05,0.0002666380248090746,7.789249065752259e-05,0.00012648485150429216,6.93981499843444e-05,3.743024367111683e-05,4.667557646775773e-05,7.40933619068551e-05,4.15501902925182e-05,7.459976090965101e-05
mape_test_IMF2,129.29832657522184,150.99881020142152,143.6732042374837,93.54385913429667,98.58020207968782,198.64001843559564,138.9263397931177,77.61871784418612,2228.180649906269,110.23935436261567
mse_test_IMF3,6.499104211824483e-05,0.00029791765006701045,5.3818818897995975e-05,2.607989344115974e-05,5.335465684254544e-05,1.415840763034959e-05,2.5563329475977092e-05,5.5731263012852897e-05,1.5171922220891256e-05,9.326907578354067e-05
mape_test_IMF3,495.43210994304934,135.47495024204255,385.69578366591975,65.14025338503586,352.62325545765765,95.06730719327885,123.45778682226822,58.71140820354417,56.32628601588138,104.61902080217644
mse_test_IMF4,6.315332573325584e-05,7.335002837335116e-05,2.5932606353394942e-05,5.3822998942116804e-05,3.211600047679512e-05,5.4078254554601725e-06,3.374879436442908e-05,8.734002161897624e-05,2.1685912969993253e-06,3.457990744883268e-05
mape_test_IMF4,63.516312850879984,87.20443846026612,25.182891869789557,36.276773594982316,30.061157970533593,175.5680338825088,37.221815023738614,40.45302041857126,25.71874943172897,47.74331150627921
mse_test_IMF5,1.762643846841269e-05,2.54506160439456e-05,1.089191528454119e-05,1.5180941032655506e-05,1.8075155248324096e-05,2.077426938199173e-06,1.5983711930679732e-05,5.719522265835808e-06,3.463280295068712e-06,1.7418238344903162e-05
mape_test_IMF5,1.258403641242747,17.196306192881437,1.0430120004561954,12.016296840469415,5.370946171512523,10.24399669154663,5.155985226055034,25.375329584853272,0.9111733501006202,16.622254910436283
mse_test_IMF6,1.589845041531344e-06,2.404564951314892e-06,1.371128995805011e-07,3.5577848503038036e-06,1.0843760713191509e-06,6.987074620525249e-06,1.071232906088473e-06,2.395152590966669e-06,1.1081022046779488e-06,9.556490645810916e-06
mape_test_IMF6,131.28438848753578,0.2978067307989414,21.23426817088599,0.34242868012916716,0.17945994972499751,0.8049709808944516,0.18202972387600325,0.30938388742913614,12.107311767836055,0.9898822962855396
mse_test_IMF7,7.280280714103444e-07,1.6468514815328602e-10,1.4455051735745807e-08,3.306729166431732e-10,5.034447528788988e-09,,1.7086934234800128e-07,4.315227117204651e-08,7.601687783620599e-09,7.975547510373872e-08
mape_test_IMF7,0.34839719585272905,0.013088925789859774,0.04379010978198124,0.007599987344401317,24.19927803434557,,0.19443662187458657,0.09136122644318093,0.041365463200078126,5.94610669198625
mse_test_IMF8,,,,,3.958907682762985e-12,,,,,
mape_test_IMF8,,,,,0.0007421370849249318,,,,,
