,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0004842592405661044,0.0013067757086731493,0.0004663920117126212,0.0006271055609223184,0.00034367814300822016,0.00014503481800677505,0.0002772628408035175,0.0008114621176527208,6.446300375015375e-05,0.0005172653020515172
mape_test_IMF1,116.1845884915893,125.6228451380957,189.960655296233,123.03253423955385,102.9621347707715,170.09956037646356,286.61191903574843,169.33438983884352,111.07793455035637,180.44580200946197
mse_test_IMF2,4.6275569337512824e-05,0.0003110215616131865,5.439704170444203e-05,0.0001514336126304445,6.105875241506287e-05,2.6405787098637375e-05,3.905169175135726e-05,0.00013643886562449093,2.6801822629691745e-05,0.0001261542220746764
mape_test_IMF2,154.969998868158,185.37568160346638,252.36061043424777,204.6747197923473,232.3909166484333,77.83168985786794,97.85484296188784,123.94350555070189,161.8227605336016,127.73117575366825
mse_test_IMF3,2.5427892473064627e-05,4.84148013333147e-05,2.902421478642737e-06,1.6361638417662222e-05,2.3181028399423984e-06,7.370965527315888e-06,7.272125839099706e-06,1.3223699853876847e-05,1.3616667125006009e-06,2.4755706403301413e-05
mape_test_IMF3,53.77968886016355,101.80942568674323,37.41578107864385,74.59078381069355,52.501614351234096,106.01214875545668,30.269246692899003,24.522532200553663,21.441449307187217,85.17725434633057
mse_test_IMF4,6.222196539998067e-05,7.245879095344836e-05,2.787544722784223e-05,4.6659603657148494e-05,2.9991076243708878e-05,5.462311054038486e-06,3.490973681631058e-05,9.51573893839449e-05,4.9570535209844915e-06,3.4333095418808974e-05
mape_test_IMF4,64.76276005149785,50.388392687026695,36.51562276634747,164.85066872185226,39.25085282753776,97.1106207504367,33.34171746764051,60.89618119910939,55.34621083763284,50.88669107098741
mse_test_IMF5,1.8321350624942105e-05,2.5480840017642322e-05,1.0935913775599891e-05,2.6404735300049394e-05,1.7503831882880247e-05,1.0098439952007548e-05,1.6042798592261608e-05,5.1214331414963525e-06,3.195397064170802e-06,1.6170473491550638e-05
mape_test_IMF5,1.3343978224609085,21.000655548345556,1.053209281795905,9.763580970228036,7.972134921519182,1.1323308836832762,5.854624686827849,35.76833156197205,13.808752180783424,16.507150472664435
mse_test_IMF6,,2.406000441971927e-06,,1.9395631259274126e-06,1.0709541903853757e-06,,1.0735175144149163e-06,1.775312123703559e-06,4.297556299465914e-06,9.483317802163448e-06
mape_test_IMF6,,0.2979633363264367,,0.2414301979399503,0.18034415769700268,,0.1829556015162855,0.23507289028736278,0.8058489661667775,0.9907981296233411
