,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0005019236861190585,0.001307895108845976,0.0004392229206453824,0.0006618484732788257,0.00034420749774141185,0.00015033908544792923,0.00030475222297713793,0.0007849678980668959,6.298449712646413e-05,0.0005262078508863904
mape_test_IMF1,103.76160384617296,111.62287174879317,143.64108547032887,133.80594469127158,136.7986892339395,119.10164256682592,64608.44793301937,183.6088935264675,101.92145348519371,217.77655663219173
mse_test_IMF2,9.069128269683715e-05,0.00031335402704136465,7.234373042497745e-05,0.00013202542268818485,0.0001314477032123509,2.3636676820473976e-05,7.776647839134489e-05,0.00011238768824969972,2.144533543234874e-05,8.766780541010737e-05
mape_test_IMF2,157.70703989900818,242.99580877613164,376.0308118338969,91.07117821405204,361.948736737094,117.38125629703579,9065.0430413091,149.2857765996931,438.8469186907577,249.58820051136098
mse_test_IMF3,1.2934413977494056e-05,2.6272463980665644e-05,3.971737298606747e-06,9.190473792196623e-06,1.975920960501386e-06,1.1165006355710992e-05,6.472284610248337e-06,5.273690199543954e-06,4.521714661279136e-06,6.44296983221644e-06
mape_test_IMF3,30.569906172756472,28.821337228292208,19.69130355943142,29.884228332876805,18.753194258471893,106.62572710139855,34.612877377114636,15.066095770925331,25.533045677461008,26.865398329413036
mse_test_IMF4,6.148096134045124e-05,7.24827863014671e-05,2.9133910962422128e-05,4.262016750900705e-05,3.0509859741182847e-05,5.4953227534088285e-06,3.458464420464765e-05,9.145376585720017e-05,2.11513841611011e-06,3.9692351764609004e-05
mape_test_IMF4,34.3077018806658,44.591942502965246,25.43466173101733,55.00049676835121,39.431545622555205,61.724209359545526,44.23862103995073,49.402820691439416,22.872890964329727,69.6125133705476
mse_test_IMF5,1.8212193750681624e-05,2.539949496871263e-05,1.0920621108329465e-05,2.700540117179898e-05,1.745550191799698e-05,1.0120549523715094e-05,1.6069044826933698e-05,5.619737458228393e-06,3.500883908155606e-06,1.56792960805589e-05
mape_test_IMF5,1.3082177203234857,18.859389492408287,1.0535457680803022,9.624107720086245,5.364038050737761,1.1371917651023984,10.012249335935051,18.018852327710995,0.9071402785101219,139.2550527714753
mse_test_IMF6,,2.4090464097283787e-06,,1.8922725758132366e-06,1.0682430566594674e-06,,1.0790728002231074e-06,2.432931880075472e-06,,1.0246744870071413e-05
mape_test_IMF6,,0.29812947326738465,,0.23779961220447837,0.1790719968167874,,0.1833283696563013,0.309425120741319,,1.0518044864744287
